train_id,mileage_km,branding_hours_left,fitness_valid_until,cleaning_slot_id,bay_geometry_score,depot_id,last_maintenance_date
T001,25000,120,2025-12-31,CS001,0.85,DepotA,2025-08-15
T002,28000,96,2025-09-15,CS002,0.90,DepotA,2025-08-20
T003,22000,144,2025-07-29,CS003,0.80,DepotA,2025-08-10
T004,31000,72,2025-12-28,CS004,0.75,DepotA,2025-08-25
T005,19000,168,2025-06-27,CS005,0.95,DepotA,2025-08-05
T009,19000,168,2025-06-27,CS005,0.95,DepotA,2025-08-05
T013,22000,144,2025-07-29,CS003,0.80,DepotA,2025-08-10
T014,31000,72,2025-12-28,CS004,0.75,DepotA,2025-08-25
T015,19000,168,2025-06-27,CS005,0.95,DepotA,2025-08-05
T017,19000,168,2025-06-27,CS005,0.95,DepotA,2025-08-05
